state,x,y
Andhra Pradesh,-103, -138
Arunachal Pradesh,240, 173
Assam,176, 112
Bihar,49, 97
Chhattisgarh,-24, 13
Goa,-179, -134
Gujarat,-263, 30
Haryana,-145, 175
Himachal Pradesh,-131, 245
Jharkhand,24, 56
Karnataka,-170, -157
Kerala,-143, -224
Madhya Pradesh,-145, 27
Maharashtra,-195, -50
Manipur,223, 78
Meghalaya,155, 93
Mizoram,206, 36
Nagaland,236, 109
Odisha,11, -22
Punjab,-165, 210
Rajasthan,-243, 117
Sikkim,118, 131
Tamil Nadu,-112, -232
Telangana,-98, -79
Tripura,181, 50
Uttar Pradesh,-83, 128
Uttarakhand,-93, 202
West Bengal,86, 38
